sku_id,product_name,category,is_assembly_required
SKU-FURN-00001,Furnitur Kayu Olahan 407,Office Chair,True
SKU-FURN-00002,Furnitur Kayu Olahan 536,Wardrobe,True
SKU-FURN-00003,Sofa Japandi Minimalis 867,Sofa,True
SKU-FURN-00004,Furnitur Kayu Olahan 727,Kursi Kerja,True
SKU-FURN-00005,Furnitur Kayu Olahan 363,Wardrobe,True
SKU-FURN-00006,Furnitur Kayu Olahan 229,Lemari,True
SKU-FURN-00007,Furnitur Kayu Olahan 148,Office Chair,True
SKU-FURN-00008,Furnitur Kayu Olahan 185,Wardrobe,True
SKU-FURN-00009,Sofa Japandi Minimalis 808,Sofa,False
SKU-FURN-00010,Sofa Japandi Minimalis 221,Sofa,False
SKU-FURN-00011,Furnitur Kayu Olahan 101,Kursi Kerja,True
SKU-FURN-00012,Sofa Japandi Minimalis 693,sofabed,True
SKU-FURN-00013,Hiasan Meja / Karpet Aesthetic 37,Dekorasi,False
SKU-FURN-00014,Furnitur Kayu Olahan 278,Kursi Kerja,True
SKU-FURN-00015,Furnitur Kayu Olahan 880,Kursi Kerja,True
SKU-FURN-00016,Furnitur Kayu Olahan 185,Kursi Kerja,True
SKU-FURN-00017,Furnitur Kayu Olahan 486,Lemari,True
SKU-FURN-00018,Furnitur Kayu Olahan 177,Dining Table,True
SKU-FURN-00019,Sofa Japandi Minimalis 844,sofabed,True
SKU-FURN-00020,Furnitur Kayu Olahan 453,Office Chair,True
SKU-FURN-00021,Hiasan Meja / Karpet Aesthetic 20,Dekorasi,False
SKU-FURN-00022,Furnitur Kayu Olahan 241,lmri,True
SKU-FURN-00023,Furnitur Kayu Olahan 233,Wardrobe,True
SKU-FURN-00024,Furnitur Kayu Olahan 120,Dining Table,True
SKU-FURN-00025,Sofa Japandi Minimalis 482,Sofa,True
SKU-FURN-00026,Furnitur Kayu Olahan 238,Kursi Kerja,True
SKU-FURN-00027,Sofa Japandi Minimalis 527,Sofa,True
SKU-FURN-00028,Sofa Japandi Minimalis 263,Sofa,False
SKU-FURN-00029,Furnitur Kayu Olahan 555,lmri,True
SKU-FURN-00030,Hiasan Meja / Karpet Aesthetic 58,Dekorasi,False
SKU-FURN-00031,Furnitur Kayu Olahan 468,Lemari,True
SKU-FURN-00032,Furnitur Kayu Olahan 299,Meja Makan,True
SKU-FURN-00033,Sofa Japandi Minimalis 969,Sofa,False
SKU-FURN-00034,Furnitur Kayu Olahan 602,Office Chair,True
SKU-FURN-00035,Furnitur Kayu Olahan 753,Bed,True
SKU-FURN-00036,Furnitur Kayu Olahan 409,Meja Makan,True
SKU-FURN-00037,Hiasan Meja / Karpet Aesthetic 65,Dekorasi,False
SKU-FURN-00038,Furnitur Kayu Olahan 378,Lemari,True
SKU-FURN-00039,Furnitur Kayu Olahan 870,Meja Makan,True
SKU-FURN-00040,Hiasan Meja / Karpet Aesthetic 52,Dekorasi,False
SKU-FURN-00041,Furnitur Kayu Olahan 884,lmri,True
SKU-FURN-00042,Furnitur Kayu Olahan 871,Kursi Kerja,True
SKU-FURN-00043,Sofa Japandi Minimalis 163,Sofa,False
SKU-FURN-00044,Furnitur Kayu Olahan 322,Wardrobe,True
SKU-FURN-00045,Furnitur Kayu Olahan 128,Dining Table,True
SKU-FURN-00046,Furnitur Kayu Olahan 667,Dining Table,True
SKU-FURN-00047,Furnitur Kayu Olahan 972,Kursi Kerja,True
SKU-FURN-00048,Furnitur Kayu Olahan 472,Kursi Kerja,True
SKU-FURN-00049,Sofa Japandi Minimalis 774,Sofa,False
SKU-FURN-00050,Furnitur Kayu Olahan 363,lmri,True
SKU-FURN-00051,Sofa Japandi Minimalis 525,Sofa,True
SKU-FURN-00052,Hiasan Meja / Karpet Aesthetic 58,Dekorasi,False
SKU-FURN-00053,Sofa Japandi Minimalis 635,sofabed,True
SKU-FURN-00054,Furnitur Kayu Olahan 385,Wardrobe,True
SKU-FURN-00055,Furnitur Kayu Olahan 932,Meja Makan,True
SKU-FURN-00056,Furnitur Kayu Olahan 322,Lemari,True
SKU-FURN-00057,Furnitur Kayu Olahan 649,Lemari,True
SKU-FURN-00058,Furnitur Kayu Olahan 650,Kursi Kerja,True
SKU-FURN-00059,Furnitur Kayu Olahan 138,Dining Table,True
SKU-FURN-00060,Furnitur Kayu Olahan 303,Wardrobe,True
SKU-FURN-00061,Sofa Japandi Minimalis 921,sofabed,False
SKU-FURN-00062,Sofa Japandi Minimalis 755,Sofa,False
SKU-FURN-00063,Hiasan Meja / Karpet Aesthetic 47,Dekorasi,False
SKU-FURN-00064,Furnitur Kayu Olahan 992,lmri,True
SKU-FURN-00065,Furnitur Kayu Olahan 489,Kursi Kerja,True
SKU-FURN-00066,Furnitur Kayu Olahan 537,Meja Makan,True
SKU-FURN-00067,Hiasan Meja / Karpet Aesthetic 60,Dekorasi,False
SKU-FURN-00068,Furnitur Kayu Olahan 125,lmri,True
SKU-FURN-00069,Furnitur Kayu Olahan 566,Kursi Kerja,True
SKU-FURN-00070,Furnitur Kayu Olahan 140,Meja Makan,True
SKU-FURN-00071,Hiasan Meja / Karpet Aesthetic 98,Dekorasi,False
SKU-FURN-00072,Furnitur Kayu Olahan 564,Office Chair,True
SKU-FURN-00073,Furnitur Kayu Olahan 509,Office Chair,True
SKU-FURN-00074,Sofa Japandi Minimalis 214,Sofa,True
SKU-FURN-00075,Hiasan Meja / Karpet Aesthetic 96,Dekorasi,False
SKU-FURN-00076,Furnitur Kayu Olahan 447,Wardrobe,True
SKU-FURN-00077,Furnitur Kayu Olahan 669,Wardrobe,True
SKU-FURN-00078,Furnitur Kayu Olahan 711,Kursi Kerja,True
SKU-FURN-00079,Furnitur Kayu Olahan 640,Lemari,True
SKU-FURN-00080,Furnitur Kayu Olahan 551,Dining Table,True
SKU-FURN-00081,Sofa Japandi Minimalis 863,Sofa,False
SKU-FURN-00082,Sofa Japandi Minimalis 875,sofabed,True
SKU-FURN-00083,Sofa Japandi Minimalis 541,Sofa,False
SKU-FURN-00084,Furnitur Kayu Olahan 885,Meja Makan,True
SKU-FURN-00085,Furnitur Kayu Olahan 993,Meja Makan,True
SKU-FURN-00086,Furnitur Kayu Olahan 792,Kursi Kerja,True
SKU-FURN-00087,Hiasan Meja / Karpet Aesthetic 72,Dekorasi,False
SKU-FURN-00088,Furnitur Kayu Olahan 318,Wardrobe,True
SKU-FURN-00089,Furnitur Kayu Olahan 741,Kursi Kerja,True
SKU-FURN-00090,Sofa Japandi Minimalis 185,Sofa,False
SKU-FURN-00091,Furnitur Kayu Olahan 786,lmri,True
SKU-FURN-00092,Furnitur Kayu Olahan 776,Meja Makan,True
SKU-FURN-00093,Hiasan Meja / Karpet Aesthetic 16,Dekorasi,False
SKU-FURN-00094,Sofa Japandi Minimalis 471,sofabed,False
SKU-FURN-00095,Furnitur Kayu Olahan 494,Dining Table,True
SKU-FURN-00096,Hiasan Meja / Karpet Aesthetic 72,Dekorasi,False
SKU-FURN-00097,Furnitur Kayu Olahan 204,Wardrobe,True
SKU-FURN-00098,Furnitur Kayu Olahan 480,Office Chair,True
SKU-FURN-00099,Furnitur Kayu Olahan 898,Kursi Kerja,True
SKU-FURN-00100,Sofa Japandi Minimalis 637,Sofa,True
SKU-FURN-00101,Furnitur Kayu Olahan 863,Kursi Kerja,True
SKU-FURN-00102,Furnitur Kayu Olahan 840,Wardrobe,True
SKU-FURN-00103,Sofa Japandi Minimalis 151,sofabed,False
SKU-FURN-00104,Hiasan Meja / Karpet Aesthetic 91,Dekorasi,False
SKU-FURN-00105,Furnitur Kayu Olahan 429,Lemari,True
SKU-FURN-00106,Furnitur Kayu Olahan 459,Kursi Kerja,True
SKU-FURN-00107,Furnitur Kayu Olahan 538,Office Chair,True
SKU-FURN-00108,Sofa Japandi Minimalis 791,Sofa,False
SKU-FURN-00109,Furnitur Kayu Olahan 552,Wardrobe,True
SKU-FURN-00110,Hiasan Meja / Karpet Aesthetic 31,Dekorasi,False
SKU-FURN-00111,Furnitur Kayu Olahan 363,lmri,True
SKU-FURN-00112,Furnitur Kayu Olahan 945,Wardrobe,True
SKU-FURN-00113,Furnitur Kayu Olahan 460,Bed,True
SKU-FURN-00114,Furnitur Kayu Olahan 421,Meja Makan,True
