store_id,store_name,channel_type
DKR-001,DEC Alam Sutera 1,Physical Store
DKR-002,DEC Bintaro 2,Physical Store
DKR-003,DEC Kemang 3,Physical Store
DKR-004,DEC Kelapa Gading 4,Physical Store
DKR-005,DEC Medan 5,Physical Store
DKR-006,DEC Kemang 6,Physical Store
DKR-007,DEC Surabaya 7,Physical Store
DKR-008,DEC Bandung 8,Physical Store
DKR-009,DEC Kelapa Gading 9,Physical Store
DKR-010,DEC Kemang 10,Physical Store
DKR-011,DEC Kelapa Gading 11,Physical Store
DKR-012,DEC Bintaro 12,Physical Store
DKR-013,DEC Surabaya 13,Physical Store
DKR-014,DEC Kelapa Gading 14,Physical Store
DKR-015,DEC Bekasi 15,Physical Store
DKR-016,DEC Bekasi 16,Physical Store
DKR-017,DEC Medan 17,Physical Store
DKR-018,DEC Alam Sutera 18,Physical Store
DKR-019,DEC Alam Sutera 19,Physical Store
DKR-020,DEC Surabaya 20,Physical Store
DKR-021,DEC Bekasi 21,Physical Store
DKR-022,DEC Alam Sutera 22,Physical Store
DKR-023,DEC Kelapa Gading 23,Physical Store
DKR-024,DEC Alam Sutera 24,Physical Store
DKR-025,DEC Bekasi 25,Physical Store
DKR-026,DEC Bandung 26,Physical Store
DKR-027,DEC Alam Sutera 27,Physical Store
DKR-028,DEC Surabaya 28,Physical Store
DKR-029,DEC Kelapa Gading 29,Physical Store
DKR-030,DEC Kemang 30,Physical Store
DKR-031,DEC Bintaro 31,Physical Store
DKR-032,DEC Medan 32,Physical Store
DKR-033,DEC Alam Sutera 33,Physical Store
DKR-034,DEC Bintaro 34,Physical Store
DKR-035,DEC Surabaya 35,Physical Store
DKR-036,DEC Alam Sutera 36,Physical Store
DKR-037,DEC Kelapa Gading 37,Physical Store
DKR-038,DEC Bintaro 38,Physical Store
DKR-039,Dekoruma Mobile App,Mobile App
DKR-040,Dekoruma Website,Web
